date,calories,evaluation,duration,distance
2019-12-09 15:52:15,58,3,28.0,4.6
2019-12-09 23:40:37,24,1,12.5,1.5
2019-12-10 12:33:00,60,0,12.6,0.6
2019-12-10 16:07:04,671,23,63.6,8.1
2019-12-10 20:29:24,670,14,69.1,9.3
2019-12-11 14:06:13,943,10,87.3,9.3
2019-12-11 16:37:16,171,21,14.4,1.0
2019-12-11 16:56:53,94,0,11.8,1.4
2019-12-12 13:13:03,213,5,29.0,2.1
2019-12-12 13:46:54,120,2,14.2,1.3
2019-12-12 14:08:03,303,15,33.9,2.5
2019-12-12 15:58:56,290,11,37.2,2.8
2019-12-12 16:52:09,288,6,47.8,1.7
2019-12-13 11:12:00,827,22,75.0,6.8
2019-12-13 12:43:47,506,8,58.2,6.6
2019-12-13 13:57:22,327,5,44.1,2.8
2019-12-13 17:55:00,298,8,31.4,3.1
2019-12-13 18:26:35,660,8,53.4,5.4
2019-12-13 19:20:08,103,2,10.3,0.6
2019-12-13 19:30:42,310,7,25.8,1.9
2019-12-13 19:56:36,361,2,30.5,2.9
2019-12-13 20:28:08,162,0,18.6,2.2
2019-12-15 11:53:48,170,10,22.8,1.9
2019-12-15 12:33:27,416,22,42.9,4.5
2019-12-15 13:20:17,221,8,35.7,1.6
2019-12-15 13:59:45,261,7,28.0,2.1
2019-12-15 14:36:38,89,1,8.7,1.3
2019-12-15 17:44:44,280,12,34.4,1.2
2019-12-15 18:25:35,444,16,41.5,2.9
2019-12-15 19:11:44,183,3,23.9,2.5
2019-12-15 19:39:34,75,0,7.7,0.4
2019-12-15 19:47:24,244,2,27.8,2.3
2019-12-15 20:18:30,243,5,37.6,2.7
2019-12-15 20:56:20,53,0,9.8,1.2
2019-12-16 11:07:43,462,21,73.9,6.7
2019-12-16 12:21:47,14,0,11.4,0.0
2019-12-16 12:33:20,54,6,8.3,0.4
2019-12-16 12:41:48,203,2,36.2,3.1
2019-12-16 18:22:22,241,11,24.6,2.8
2019-12-16 18:48:53,413,6,46.0,3.2
2019-12-16 19:45:44,110,0,22.3,1.4
2019-12-16 20:35:39,203,6,25.9,2.5
2019-12-16 21:01:40,189,9,28.0,1.5
2019-12-16 21:29:47,116,4,18.1,1.6
2019-12-17 16:51:05,1048,76,132.6,13.9
2019-12-17 19:15:10,375,7,41.6,2.4
2019-12-17 20:59:34,296,22,34.0,2.0
2019-12-17 21:35:48,88,0,11.7,0.1
2019-12-18 10:44:30,306,14,46.4,3.2
2019-12-18 11:31:10,82,1,13.8,0.5
2019-12-18 11:56:13,570,78,79.0,7.0
2019-12-18 13:15:17,245,7,90.8,2.8
2019-12-18 17:08:08,233,12,29.4,2.6
2019-12-18 18:10:38,190,24,21.5,1.8
2019-12-18 18:52:53,429,78,40.2,3.6
2019-12-18 19:43:29,266,20,30.4,1.3
2019-12-19 11:40:21,792,74,135.9,8.4
2019-12-19 17:34:49,2007,235,305.8,10.2
2019-12-20 10:54:41,899,132,150.3,18.7
2019-12-20 15:25:38,107,5,21.6,1.9
2019-12-24 10:28:31,2589,142,226.7,17.0
2019-12-25 10:52:23,1477,270,205.4,13.0
2019-12-25 17:34:23,2208,117,269.0,19.4
2019-12-26 10:22:54,1524,186,230.8,12.0
2019-12-26 16:28:07,1479,58,184.5,18.4
2019-12-29 10:41:44,4890,39,653.2,45.0
2019-12-30 14:46:35,2594,136,340.2,17.2
2019-12-31 10:44:05,1312,57,186.9,15.8
2020-01-05 13:09:25,2066,124,248.8,22.3
2020-01-06 11:13:56,1295,105,209.5,16.6
2020-01-06 18:28:27,1230,84,168.0,12.2
2020-01-07 10:36:59,1224,66,168.2,9.7
2020-01-09 10:26:57,3033,196,550.5,25.5
2020-01-10 10:45:17,1561,174,295.5,15.9
2020-01-10 16:15:46,1692,98,371.6,19.4
2020-01-11 10:57:45,1343,95,228.3,18.9
2020-01-11 17:04:07,1668,92,278.1,24.4
2020-01-13 11:00:30,1665,161,195.8,18.5
2020-01-13 15:55:02,2295,126,349.9,18.9
2020-01-14 10:57:35,2353,188,441.4,32.7
2020-01-16 10:39:45,1644,105,202.9,25.6
2020-01-17 11:26:34,1216,132,166.1,15.1
2020-01-17 18:49:59,971,66,151.6,11.4
2020-01-19 10:48:46,2636,234,241.3,31.0
2020-01-19 15:11:22,811,56,91.7,9.9
2020-01-19 17:33:14,2397,222,392.8,31.6
2020-01-20 10:41:05,1630,131,201.6,24.7
2020-01-20 16:50:53,2863,195,366.5,25.6
2020-01-21 10:57:30,1149,164,171.3,14.1
2020-01-21 17:27:03,1842,81,227.9,20.2
2020-01-22 13:05:41,225,9,31.7,3.9
2020-01-25 18:25:42,151,6,171.6,0.1
2020-01-26 17:04:16,2371,129,275.6,23.6
2020-01-27 10:53:45,1494,206,167.1,19.2
2020-01-29 10:26:05,2710,196,321.0,32.7
2020-01-30 10:40:02,1504,248,171.5,15.8
2020-01-30 17:25:49,2050,145,285.1,13.0
2020-02-01 10:42:00,1658,145,188.3,18.5
2020-02-01 17:31:18,1738,108,190.4,15.3
2020-02-02 10:23:25,1814,281,245.6,25.9
2020-02-02 17:29:34,1900,142,263.9,15.7
2020-02-04 10:17:56,1626,83,212.5,18.9
2020-02-04 17:31:37,1582,79,226.7,17.2
2020-02-05 10:48:31,1181,233,189.4,17.6
2020-02-05 17:41:28,1035,150,161.4,12.8
2020-02-09 10:57:37,421,28,193.6,4.8
2020-02-09 17:38:28,1506,121,210.7,20.2
2020-02-10 10:44:02,1741,172,251.9,26.4
2020-02-10 17:43:30,1302,171,175.5,17.3
2020-02-11 10:37:18,2055,185,270.1,29.9
2020-02-11 17:38:06,993,54,205.0,17.0
2020-02-15 11:10:57,1388,117,212.9,17.6
2020-02-15 17:46:15,1340,109,218.3,21.8
2020-02-16 17:02:14,1802,58,241.8,16.5
2020-02-18 10:41:09,1432,160,208.7,20.6
2020-02-18 17:29:36,1287,71,221.7,16.3
2020-02-19 09:42:02,421,86,52.7,10.5
2020-02-19 17:13:12,414,61,52.1,9.4
2020-02-20 10:36:01,1741,130,208.7,26.4
2020-02-20 17:41:54,1337,105,192.2,22.0
2020-02-21 10:55:54,532,95,74.5,11.7
2020-02-21 18:05:46,252,57,41.5,5.7
2020-02-21 21:38:52,201,30,30.0,5.5
2020-02-22 10:00:49,1533,233,199.5,17.8
2020-02-22 18:14:05,1219,79,215.2,16.0
2020-02-23 10:58:21,1200,197,202.8,18.5
2020-02-23 17:23:28,1481,125,232.0,19.4
2020-02-24 10:47:29,1700,231,288.6,29.9
2020-02-24 18:17:16,968,84,200.2,18.7
2020-02-25 14:30:38,120,8,17.6,3.5
2020-02-25 19:52:25,142,5,20.2,3.5
2020-02-26 10:40:48,1314,148,212.8,19.3
2020-02-29 10:57:52,1975,344,273.7,24.1
2020-02-29 17:50:11,1136,258,193.5,16.9
2020-03-01 11:00:20,1436,241,232.1,25.8
2020-03-01 15:04:59,160,7,24.3,3.4
2020-03-01 17:58:44,1331,141,223.8,24.9
2020-03-03 10:24:13,1254,189,209.7,18.5
2020-03-03 17:36:09,1406,188,234.9,22.9
2020-03-04 10:58:53,1242,60,183.5,21.5
2020-03-06 10:59:06,1156,255,223.6,18.0
2020-03-06 16:46:30,1898,238,303.9,28.0
2020-03-07 11:08:05,1378,125,253.9,21.3
2020-03-07 17:33:59,1052,132,187.5,15.1
2020-03-08 17:56:08,1468,206,229.2,26.8
2020-04-16 10:16:38,2332,454,417.3,42.0
